,LIBRARY,FREQUENCY
0,numpy,229
1,scipy,137
2,pandas,101
3,scikit-learn,95
4,matplotlib,80
5,tqdm,78
6,requests,64
7,torch,56
8,pyyaml,38
9,six,34
10,tensorflow,28
11,joblib,28
12,pillow,26
13,hpy,25
14,keras,22
15,torchvision,21
16,click,18
17,networkx,17
18,flask,17
19,scikit-image,16
20,opencv-python,15
21,cython,13
22,jinja,13
23,absl-py,13
24,seaborn,13
25,pytest,12
26,dill,11
27,packaging,11
28,protobuf,11
29,setuptools,11
30,tabulate,11
31,ipython,11
32,sklearn,10
33,sqlalchemy,10
34,gensim,10
35,python-dateutil,10
36,nltk,10
37,numba,10
38,statsmodels,9
39,psutil,9
40,progressbar,9
41,regex,9
42,boto,9
43,transformers,8
44,lxml,8
45,future,8
46,colorama,7
47,spacy,7
48,theano,7
49,plotly,6
50,docker,6
51,urllib,6
52,cloudpickle,6
53,termcolor,6
54,pytz,6
55,tables,6
56,jsonschema,6
57,imageio,6
58,gunicorn,6
59,programminglanguagepython,6
60,gitpython,5
61,pydantic,5
62,gevent,5
63,scikit_learn,5
64,argparse,5
65,google-cloud-storage,5
66,attrs,5
67,typing-extensions,5
68,xgboost,5
69,gym,5
70,pyarrow,5
71,jupyter,5
72,markupsafe,5
73,emoji,5
74,pymongo,5
75,loguru,4
76,lightgbm,4
77,decorator,4
78,deprecation,4
79,scikit-optimize,4
80,ase,4
81,einops,4
82,tensorboard,4
83,dataclassespython_version,4
84,shapely,4
85,pyqt,4
86,librosa,4
87,sentencepiece,4
88,importlib-metadatapython_version,4
89,sacrebleu,4
90,nbformat,4
91,optuna,4
92,pygments,4
93,pymatgen,4
94,tensorboardx,4
95,requests-toolbelt,4
96,funcsigs,4
97,tensorflow-datasets,4
98,beautifulsoup,4
99,pygame,4
100,mpipy,4
101,pathos,4
102,mock,4
103,xxhash,3
104,tokenizers,3
105,mlflow,3
106,pytorch-lightning,3
107,filelock,3
108,grpcio,3
109,aiohttp,3
110,redis,3
111,hyperopt,3
112,opt_einsum,3
113,sympy,3
114,rich,3
115,tensorflow-probability,3
116,editdistance,3
117,flask-cors,3
118,imgaug,3
119,hydra-core,3
120,appdirs,3
121,tensorflow-gpu,3
122,fasttext,3
123,cffi,3
124,nbconvert,3
125,sphinx,3
126,nibabel,3
127,pathlib,3
128,torchmetrics,3
129,humanize,3
130,monty,3
131,ujson,3
132,gin-config,3
133,websocket-client,3
134,elasticsearch,3
135,typingpython_version,3
136,cvxpy,3
137,shap,3
138,xmltodict,3
139,xlrd,3
140,dm-tree,3
141,graphviz,3
142,terminaltables,3
143,pip,3
144,pydicom,3
145,pyzmq,3
146,fastapi,2
147,uvicorn,2
148,numpypython_version,2
149,prophetpython_version,2
150,scipypython_version,2
151,parallel-ssh,2
152,typing_extensionspython_version,2
153,pynvml,2
154,scikit_learnrc,2
155,fsspec,2
156,google-api-python-client,2
157,jax,2
158,jaxlib,2
159,timm,2
160,alembic,2
161,python-dotenv,2
162,simplejson,2
163,jieba,2
164,bs,2
165,chardet,2
166,idna,2
167,julia,2
168,tensorflow-estimator,2
169,prettytable,2
170,stringcase,2
171,natsort,2
172,scikit-learnpost,2
173,torchtext,2
174,torchaudio,2
175,wandb,2
176,kornia,2
177,sacremoses,2
178,paramiko,2
179,anndata,2
180,jupyter_client,2
181,sphinx_rtd_theme,2
182,typeguard,2
183,pybind,2
184,datetime,2
185,numwords,2
186,typing,2
